content,sentiment
oi sial bikin npwp sulit kode verifikasi ga muncul gilir muncul ga verifikasi puki,0
mantap,1
apa aplikasi kalo daftar ajah ma suruh web site nya tidak aplikasi mudah orang buat npwp cek,0
min masuk npwp 16 digit menu efin utk lupa efin sana 15 digit,0
habis kena tipu dr aplikasi ini hp sy retas,0
ko eror si,0
ngk jls blok lokasi udh bener aja ngk benerin no,0
aplikasi koruptor masuk aja eror masuk cortex eror gak jelas banget nyusahin rakyat,0
aplikasi sampahhhh nomor hp email lama verifikasi kantor ngapain bikin aplikasi online woii,0
sekolah dulu pinter biar bikin aplikasi bagus tolol,0
ribet bantu,0
kalau aplikasi sepenuh guna jangan publish dulu jangan promosi login selalu kendala error padahal nik npwp valid eh gilir klik verifikasi malah error mohon tarik dulu aplikasi playstore soal guna 100 mohon baik dulu,0
lambat,0
ngak menu daftar masak daftar lewat web lagi aplikasi asal jadi uang proyek cair ujung2 korupsi,1
aplikasi bagus banget ladang korupsi mantap kali lanjut sengsara masyarakat,1
cortex sue asu bikin emosi input panjang panjang null eror,0
pwngen bilang anj,0
sangat bantu,1
woyyy aplikasi apa sy dihbungi yg kata org pajak suruh instal apk krn mau integrasi nib djp tp stelah instal kmudian ikut arah malah akun bank brimo sy yg dihack tiba2 muncul notif ubah kata sandi brimo hasil msih untung gak saldo dibrimo perintah bocor data sperti sangat rugi perintah indonesia beres,0
apk taiiik eror terus,0
aplikasi bobrok suka update kaga sih apa anggar doang,0
sangat sulit daftar kartu pajak,0
ini contoh bobrok aplikasi harus mudah malah sulit prose nya baru mau login aja udah bikin emosi harus banyak ulas jelek ini langsung baik eh malah biar moga bu sri mulyani baca ulasan2 ini sebenernya ngerepotin jadi beban negara siapa,0
aplikasi jelas pin aktifasi masuk malah sesi akhir terus,0
aplikasi gak guna nomor verifikasi efin gak kirim2,0
okok,1
good,1
lah buat login aja susah bet anying,0
sangat buruk,0
baik apk nya daftar efin aja susah banget masalah nomor telpon temu form input nya aja ga input nomor telpon,0
susah bgt login eror terus,0
bagaimana mau maju administrasi indonesia masuk pajak basis daring login selalu error padahal no nik npwp password sesuai selalu nyata salah teknologi kencang ini sistem administrasi daring indonesia bobrok jangan pegawai website apk nya miskomunikasi kalau terus warga sulit urus npwp,0
mau login malah ga nomer nowpnya pntek gaming,0
ribet aplikasi ga,0
gak,0
errorrr g guna,0
aplikasi ga bener ni mau buat npwp aja eror mulu buang waktu klo ngasih bintang 0 gw kasih bintang 0 ni aplikasi,0
aplikasi nya error padahal sandi nip npwp sama yg masuk email dong developer baik dulu,0
halah gk web nya gk app nya sama aja app asal jadi error semua,0
stop bayar pajak,0
aplikasi nya bagus cuma perlu baharu lagi buat npwp aplikasi ini coba website jadi error,1
rumit sulit ubah data profil hubung kpp administrasi,0
web ampas nyuruh wajib bayar pajak web eror mwnya apas,0
makan duit rakyat nye doang aplikasi bobrok rakyat suruh bayar pajak paja ngeribetin rakyat kan kocak aplikasi bumn emg ga yg bener rating playstore bawah 3 semua tolol,0
ribet aplikasi nya buat lupa pas aja pakai no effn buat cek no npwp aja ribet,0
apps ga jelas buat masukin data aja sulit ntah efin lah apa lh nama,0
ribet mau buat npwp masa suruh sesuai ktp arti pulkam nyusahin orang rantau aja padahal cuma aktivasi akun gmail no hp pulkam dulu baru terus walapun surat domisili tetap sesuai ktp lawak jadi pulkam dulu baru layanin baru bilang npwp pindah tempat rantau bener-bener ribet sulit,0
gara2 akun pajak ni nak tipu,0
mau login susah pakai kode lewat email masuk kode eror login terus kayak gitu bikin login mudah gak ribet kayak gin eror terus,0
,1
ribet login susah efin buat tau efin nya kentor pajak jadi susah ribet biar tau efin nya gak lewat wa email jadi lebih mudah gak ngabisin waktu juga hadeeeuuhh,0
aplikasi busuk padahal udah apk daftar lewat website lalu fungsi apk buat apa masa cuman jadi papan berita doang,0
aplikasi bagaimana mental mental terus,0
sangat ribet,0
aplikasi gak guna,0
baik aplikasi ini harus perintah lah datang masyarakat laku mungut pajak pajak bbm negara ini orang beli bbm kan harus orang hampir pom bukan balik,0
apk tipu,0
mudah,1
aplikasi konyol,0
,1
pajak korupsi,0
sangat bantu,1
emng bener suruh wajib pajak mau bayar pajak sulit ribet gilir gk bayar salah indo indo,0
mau bayar pajak aja susah aplikasi lot masuk aplikasi kode gak muncul2 kaya nya semua aplikasi perintah gin semua dah kaya sampah,0
jangan download nyesel,0
tempo hari telpon orang djp suruh install tp google play nya nonaktif dulu menu aksesibilitas aplikasi m-pajak halaman setting nyala efek m-banking ndak buka mu aksesibilitas nonaktif semua aplikasi m-banking buka m-banking lebih penting jd nonaktif aksesibilitas nya m-pajak eh besok aplikasi m-pajak nya hapus sendiri sistem deteksi sumber aplikasi valid,0
good,1
apk sampah,0
apk tolol pernah,0
buat akun lalu web nya parah banget udah sesuai semua koneksi bagus refresh terus bikin pulsa habis udah 3 kali kode otp mulu gilir semua selsai tinggal aju mohon loading refresh sendiri percuma dong kata daftar online akhir kudu kantor pajak,0
mantab,1
m pajak no ribet,1
,1
bagus,1
aplikasi apa login slalu gagal pasword selalu salah minta no kk minta no npwp slalu gagal udah jelas jelas no npwp nya sama nik nya sama tetep aja kendala user name salah aneh coba coment sama bantu like biar liat nih sama bikin aplikasi,0
luar biasa sangat bantu,1
sistem eror terus,0
sering error login,0
nice,1
sangat bantu,1
aplikasi tipu jebol rekening jangan guna,0
terima kasih atas layan moga lebih baik depan,1
orang mau buat npwp harap aplikasi website jadi lebih mudah bikin mutermuter terus sama aplikasi ini tiap kali verifikasi nomor telpon kena biaya pulsa lanjut tahap ikut tiba server down harus re-load mulai isi data awal minta verifikasi data hingga nomor telpon hitung kalo 1akun kena potong pulsa 2 000rupiah x5 salah server udah 10 000 kalo hari 100orang gagal dpat 1juta pulsa,0
sistem selalu error tiap aju lupa efin,1
dana ada ngga baru apk jelek si otp nomor ga muncul 2 jam gimana mau jadi anggota wajib pajak heran,0
aplikasi tiba masuk keluar sendiri aneh,0
susah masuk apk nya padaal udah beneer,0
sangatt burukkkk,0
ribet,0
hebat email gw tiba tiba ubah ga nerima kode efin lah,0
aplikasi guna kelas perintah buat aplikasi sampah guna habis anggar saja,0
apk sama web sama aja bobrok nya lot eror terus bukan mudah masyarakat malah sulit,0
sulit kali dapetin efin ribet nya astaga aplikasi mahal mahal ko kaya gin udah bagus mau lapor pajak,0
aplikasi bangkong cermin kata online nya sama saja ujung offline banyak omon-omon,0
sesuai harap,0
baik,1
pegawai pajak kerja apa ngga sistem nya kok eror terus,0
aplikasi ribet,0
kelas aplikasi pemerinta kayak plikasi bot uwang oprasionalnya kayak korubsi jadi aplikasi ecek ecek begini,0
memang cocok kalian beri bintang nol bahkan bintang 1 bagus kerja lebih baik anak ingus malu bikin urus segala perlu aja sulit,0
mudah kerja lapor kait paja,1
lot banget ahhk bikin emosi aja dulu gak pernah dibenerin kocak,0
tipu hati2 semua cari data pribadi,0
pajak korup terus layan buruk bikin aplikasi burik hedeh capek verifikasi pake pulsa pa scrol data ilang ulang awal verifikasi pake pulsa atur macam apa,0
aplikasi buat uang pajak malah sulit hidup buang buang waktu sangaaatttttt anehhhh jangan mau rakyat bayar pajak aja buat aplikasi malah nyusahinnnnnnn,0
mantap,1
banget,1
sandi sama pasword kok salah mulu ya padahal udah bener kenapa kayak sulit gtu bayar pajak ya aneh,0
waktu buat npwp guna email teman saya kemudian coba registrasi akun djp bisa ganti email lama baru coba registrasi akun djp tetap bisa kode eror email deteksi guna wajib pajak lain padahal emil pernah guna registrasi akun djp nyata email lama ganti tetap daftar mohon bantu,0
aplikasi gak bantu banget mau daftar mau lapor pajak aja susah nya minta ampun wa gak bantu banget sosialisasi cerah pindah coretax ribet gak guna habisin anggar doang masyarakat kecewa,0
uras pulsa daftar gagal terus muter muter,0
mantap,1
kok prah si kode otp buat hp g muncul trus pa akhir mau nyelesain daftar udh lama bgt refresh ulang asli nyushin,0
buruk banget sih apk burik klo ga ngebantu ga usah buat apk ginian ga guna cape cpe habisin waktu buat npwp code nya lama banget,0
benar benar kecewa selalu alami loading kabar baik 1 tahun daftar ttp kabar baik apa loading gagal validasi minimal adakan info jelas gagal loading tahap 7 direfres apabila sengaja refresh lanjut isi data data bukan malah ulang awal,0
aplikasi koruptor,0
ribet daftar online perlu kantor,0
guna aplikasi nya npwp yg baru yg pake no nik ktp aplikasi sampah,0
notif tagih pajak suruh bayar segera aplikasi buat kode billing lemoy sekali,0
aplikasi perintah sama dungu nya,0
pilih tanggal lahir muncul semua yg hilang pusing tgl 15 pilih mode dapat efin,0
congratulation,1
fungsi aplikasi buat apa sih minimal fitur buat batu nomer hp email masa tiap taun lapor pajak gak kasih fitur baru data,0
aplikasi m pajak sangat bantu wajib pajak,1
sangat bantu,0
banyak waktu buang ngurus npwp online ini apk web susah akses loading lot n registarasi gagal terus,0
gara-gara apk banyak kasus tipu mengatasnamakan kantor pajak sampai semua data curi hp nik ktp no wa sadap foto ktp foto kk curi minta no rekening jadi ingat tmn kalau yng nelpon no kenal trus minta install m pajak jangan kalau gak mau saldo rekening bobol sekali jangan,1
mau buat kode billing aja susah selalu eror alias salah padahal sesuai isi profesional padahal mau bayar pajak,0
sangat buruk fitur kurang lengkap,0
udh tuntut pajak hafus byr gliran mau bayar ribet kacau2,0
guna buang waktu,0
keren npwp 15 nik 16 iya aja kalo npwp dulu,1
bad,0
wkwk dana 1t jadi apk ganiat,0
,1
website jelek aplikasi jelek judul doang bawah naung pajak ga modal duit banyak,0
pertama kali masuk aplikasi maxim ribet,1
mau apk web nya sangat profesional kelas perintah begini dangkal buruk sekali udah mh tata ribet lot lagi tambah suka eror ngulang awal pa awal daftar pulsa gua habis cuma buat kode otp sm mirisss,0
sumpah kesel banget gajelas,0
eror teruss,0
mau cek evin aja susah bgt,0
indonesia segala regulasi ruwet padahal mah mau bayar pajak banyak cuma cara yg bikin ruwet bikin complicated bayangin kalo yg usaha gaptek ease lah jangan kaya gin birokrasi,0
isi seluruh data daftar npwp klik aju mohon situs muat henti sangat kecewa ulang beberapa kali baik sistem sulit guna,0
lot banget,0
sampah banget,0
repot login gabisa pa telat bayar kena denda aplikasi ga jls,0
dong perintah buat aplikasi memang mudah guna masyarakat mau bayar pajak aja ribet banget ana wah is the best,0
benar benar uras emosi sih parah,0
buruk kode billing muncul padahal mau bayar sulit bayar rakyat wajib bayar pajak mudah bayar via website lalu laptop sulit lalu aplikasi gin ambil cuan instal aplikasi ngak bayar muncul kode billing,0
app kocak kirim kode verifikasi gak kirim,0
sangat jelek ga login,0
aplikasi nya kurang bagus web nya jelek banget susah buat npwp,0
udah login gilir masukin kode verifikasi gak bisa gitu aja terus lah bener napa aplikasi ngabisin anggar negara aja loe bikin aplikasi gak bener gin,0
masyarakat minta taat bayar pajak kok malah sulit buat npwp aja sulit banyak error ny udah ad npwp malah log in nya gagal terus baik buang2 waktu,0
aplikasi ga sesuai anggran buat,0
kacau masa email ubah jadi email kenal wah aman gak percaya paja,0
gara gara lot aplikasi gua jadi gagal interview,0
aplikasi bodooh aplikasi perintah yg paling bodoh error mulu trus guna aplikasi apa khon,0
gk daftar,0
sebenernya aplikasi apa yaa,0
lupa kata sandi buat login m pajak kok sulit mau lapor uang bikin ribet kalo gk lapor pakai denda segala 100 rb jangan sulit,0
mohon maaf nihh mohon maaf bangett pernah tipu pihak yg kata pajak minta baru data lalu suruh bagi layar lalu vidcall,0
dong aplikasi no npwp nya 16 dijit,1
kode sm nya ga pernah masuk kacau,0
minta nomor efin pasa kolom npwp ketik 1 angka akhir jdi pa aju nomor npwp nya kurang 1 anggka,0
padahal gue udah bikin offline kantor pajak eh pa gue coba cek aplikasi terang error nik kenal lucu ngising mulu,0
mau gua bayar gak pajakk daftar doamg sulitt cuuuihh,0
kode verifikasi nya lama bener buset dah ah,0
payah layan chat tunggu 30 hari kerja baru bale lama banget sekali hubung bantu sama sekali lebih serah masalah langgan shame on you,0
aplikasi ga jelas bisa baru update saja nyata ga guna juga parahhh,0
apk gajelas,0
baru lagi aju lupa efin isi form npwp sedia 15 digit padahal npwp sama nomor nik jumlah 16 digit angka alhasil aju pernah hasil sistem sedia 15 digit npwp deteksi kurang 1 digit angka sederhana fatal sekali,0
mau login aja susah skli,0
aplikasi gak guna gak kerja sama sekali,0
lumayan,1
webnya aplikasi ga bantu sama sekali,0
ngga jelas dahh mau tanya aja kaga ngetik blok lahh,0
on-line,1
aplikasi website error tidak tangan serius kritik,0
aplikasi kocak udah masukin no npwp pasword bener aja salah kocak aplikasi gak kocak,0
jelek banget tiap mau login gagal terus gimana mau lapor coba payah,0
serba susah serba ribet semua sulit,0
makin kesini bukan nya makin baik klo siap buat bikin apk ga usah maksain deh,0
pilih ganti password,0
mudah guna,1
mau bikin npwp halang sama pihak tiga terus ya selalu masalah validasi kerja maksud apa si indonesia,0
informatif,1
ga menu lupa sandi,0
kalo ujung2nya kantor pajak kata pajak online perintah kalo bikin program aplikasi bukan ringan malah bingung,0
bagus b akses dmn aja,1
bagus,0
suruh bayar pajak suruh sat set tp aplikasi eror mulu g dibenerin,0
aplikasi gak mau ngajuin efin aja gak padahal udah gw isi npwp aplikasi bata sampe 15 angka doang kartu 16 angka,0
kaga cek nomor npwp pakai ktp online cuman cek nama daftar,0
npwp 16digit kolom djb cuma 15digit pa cek gagal karna npwp sesuai ini gimana app nya,0
aplikasi busuk,0
aplikasi bobrok lot birokrasi ribet serba sulit,0
sampah,0
top,1
kelas web perintah model begini nunggu no verifikasi udh kaya nunggu bansos,0
udah login udah dapet verifikasi pa masuk malah eror developer benerin dong banyak banget bug yg numpuk,0
aplikasi gajelas,0
dana aplikasi nya korupsi kah,0
gk bantu lapor ribet kalo mesti kantor pajak gak aplikasi,0
terlalu lama prose masuk akun dan selalu tolak banyak pasu akun,0
verifikasi email aja terus aplikasi pajak kok susah akses,0
ga buka padahal udah buat,0
aplikasi abal2 gin belit simpel buat apa perintah banyak aplikasi kok ribet semua,0
apk ga jelas,0
niat sih bikin aplikasi mau login aja susah banget error terus mau bayar denda aja kaga jelas instruksi kaya gimana ampun dah aplikasi perintah parah banget,0
,1
aplikasi buruk,0
mantap,1
aplikasi sampah website nya sampah,0
gak daftar masuk akun langsung login minta efin gak da respon error,0
mohon aktifasi efin npwp sama nik appnya update,0
aplikasi kok gajelas ya masuk kode verif email 10 kali lebih tulis salah terus gimana sih cara loginnya,0
ribet ngisi spt,1
kecewa jaman sekarang mau minta nomer efin kantor lewat online,0
mantaps,0
aplikasi yg sangat beebelit-belit mau daftar npwp aja ruwet banget,0
kecewa alam nya kok tunggu notifikasi verifikasi nomor gak sama sekali lama,0
tambah stress,0
aplikasi nya super parah habisin pulsa buat kirim kode otp saja buat npwp gakbisa upload foto parah,0
mau log in aja susah kata akun ada tp blum pernah bikin lg pa mau kata sandi suruh masukin nomor hp email yg daftar tp daftarin ngg tau siapa ngasal hah kekny yg hack data y,0
mau lihat npwp aja ribet mau bayar pajak ribet apa2 buat ribet alias mulek aplikasi ruwet indonesia gelap gulita aplikasi perintah kok kayak gin buat daftar gak bisa di indonesia banyak orang pintar tp pintar itu tau sendiri,0
duh maaf aplikasi bener gk jelas,0
kok aplikasi kek gin si,1
gak jelas aplikasi,0
lupa ffin pa verifikasi lewat email kok bukan email yng daftar,1
baik webnya lah masa kelas perintah web nya amburadul parah sampe habis pulsa gw ulang ulang gagal terus data ga kesimpen mulai awal lagi kok pinternya minta ampun bgt mau foto terang bawah 300kb gila kecil amat pdhl udah foto pake fitur kamera webnya kok fitur yg bikin sendiri malah ga kompatibel sama sistem sendiri kocak bet bubar deh bubar kalo ga becus,0
kok kirim verifikasi kode telepon aja lama banget,0
kau orang buat pajak aja kau sulit,0
prihatin sekali kelas website perintah lelet,0
lupa password reset ulang kacau,0
aplikasi bobrok pernah buka,0
sangat buruk,0
ribettt bet ngurus ny wkwk baik sistem pak bu jgn makan gaji doang,0
excelence,1
bagus,1
gimana sih perintah andal bayar pajak aja ribet,0
aplikasi jelek sekali lambat jangan percaya orang cht wa,0
kalo bikin aplikasi gak usah bikin orang mau ampe gila gara gara ngelag nya,0
ber word word ni aplikasi sangat bantu pancing emosi,0
ngaduin keluh email ga solusi tau2 pa lg sesi chat ngilang tu aja smua chat,0
niat bikin aplikasi tidak jadi aparat negara bayar kerja nya gk andal,0
aplikasi guna,0
mantaaaap,1
apk busuk verifikasi lama,0
ga login dong pdhl lewat web bener masuk lewat apk malah username sama pw salah terus,0
aplikasi gak guna habis pulsa buat nya bukan bantu malah sulit,0
daftar online masa hapus npwp datang tempat mana jauh adakan hapus npwp via online,0
app nya ga sama sekali buka baik,0
mau dattar akun login aja ribet itu,0
daftar lalu web login aplikasi npwp daftar,0
sangat baik,1
padahall semua data bner ma eror hadehh,0
aplikasi siliiiiit sangat bagong gak guna sma s kali,0
maaf bintang 1 login aja susah banget sesi wkt akhir terus error tau siapa yg error,0
masuk password error terus terus padahal pasword benar kacau ga login login,0
burik mau masuk ga payah,0
aplikasi bikin stress,0
aok gk mau daftar npwp minta no hp gk ngirim kode,0
guna mahal doang jelek apkny,0
coretax terlalu mantap dulu nya mudah daftar online jaman akun ereg djp sekrng susah loading buat keringat besar ibu jari,0
buruk sekali kelas negara bikin aplikasi kok ini verivikasi lama pa selesai kirim suruh bayar pajak lah bikin aku aja susah,0
good,1
ribet susah kan guna,0
buka,0
sangat bagus,1
bener aja aplikasi ganggu mulu,0
yakali ga duit buat benerin aplikasi begini padahal pajak ambil rakyat udah banyak upss penting duit tari lancar kan kali duit dipake buat penting rakyat,0
makanya kalau bikin web aplikasi apa yg sifat layan publik dana nya pakai semua buat untuk biar bagus aplikasi ga lelet,0
parahhh lah mau login aja susah bner,0
tambah fitur download npwp bentuk pdf jpg,1
masa login salah terus padahal user password-nya udah sesuai,0
aplikasi bagus dapat efin nomer npwp nya 15 digit padahal tahun baru buat npwp nomernya 16 digit jadi masuk nomor nya,0
sesi akhir log in ulang user name password yg benar tp selalu sesi akhir daaaannnn terus serius gaji potong hampir rata rata lebih 1 juta tiap bulan layan aplikasi resmi dirjen pajak milik perintah ini save raja ampat,0
satu bintang dulu soal tau bagus apa nya,0
kaga jelas aplikasi kaga jelas ribet bngt bikin npwp doang,0
baru masuk npwp udah salah apalagi kurg 1 angka gk baca padahal ku paste,0
oke,1
ganti coretax donk m-pajak pisah nik dg npwp,1
log in error terus baik,0
aplikasi guna minta otp djponline muncul malah jadi salah,0
eror terus udah berapa kali ngulang 1 kali udah tahap konfirmasi loadingnya nya lama mohon baik,0
anggar buat baik aplikasi busuk gak kah gin kalau server warnet dalam dipake,0
aplikasi ga guna inti isi aplikasi cuma info datang kantor pahak dekat lalu apa guna buat aplikasi online kocak,0
awas aplikasi sindikat tipu,0
baik,1
aplikasi busuk mau bayar pajak aja ribetnya syarat ribet banget handphone model sm yg aktif udah ga jaman pake sm pake wa lah tolll banget ygbikin syarat,0
ga niat bikin server,0
aplikasi gajelas semua udah sesuai isi tetep aja salah terus dasar aneh,0
apk parahhhh bngt,0
tdk fungsi dgn baik,0
kesel banget udh beberapa kali login gagal padahal password sama npwp udh puluh ribu kali cek sama ttp ga login,0
urus efin makin baik makin cepat kualitas aplikasi tingkat versi belum moga makin baik depan tampil makin responsif bagus,1
log in akun user name sandi minta betul hanya kode verifikasi nya tak konek gmail sesuai akun google guna,0
aplikasi perintah anggar langit kualitas kalah sama aplikasi judol lari duit anggar,0
padahal login guna npwp password ikan email resmi m pajak pa login gabisa,0
gx login,0
sesi akhir terus login ulang padahal 1 menit,0
aku udh no efin mudah sekali dapat no efin nya kantor pajak dulu tinggal laporin online,1
aplikasi tolol gk guna error mulu,0
paling ribet buat npwp online,0
tambah garai emosi payah,0
emang orang perintah kerja kagak becus,0
sangat bantu lanjut,1
aplikasi kurang guna gak buat npwp online mana sering macet jaring bagus buka aplikasi gagal ter eror cepat baik mau kerja halang sama aplikasi,0
apk jelek,0
daftar sulit padahal isi data benar,0
,1
bagus,1
jangan sulit yg lupa efin cukup kirim email aktivasi ulang gak perlu repot2 kpp dekat buang2 waktu,0
aplikasi guna,0
kadang orng paham pakai apk,1
aplikasi rusak,0
scam nya hati hati kena hack iklan,0
sangat bantu sekali,1
bgus pelyaany,1
aplikasi aneh,0
astaga aju lupa efin aja lama kali masa terus terus eror tadi udah 10 gagal,0
ko login error knpa ya,0
bagus,1
layan jeles sekali ga kasih solusi,0
gajelas appnya,0
kurang erti paham bagaimana guna aplikasi ini sering telp mengatasnamakan ditjen pajak dengan bagai ala masalah bla-bla-bla,0
ribet,0
gak,0
sa kesal sekali buat npwp jadi susah semenjak jadi cortax verif 2 hari 2 malam bodoh sekali,0
jangan nerima duit setor pajak aja baik system web aplikasi jaman digital lot aja verifikasi data numpuk code otp alhasil masuk,0
aneh bayar pajak lapor mau lapor sulit data,0
masuk app bisa halaman depan buka,0
aplikasi kont sangat bagus,0
gk fungsi apk kelas negeri,0
aplikasi lambat minta kode verifikasi ga masuk email ga jelas,0
good job,1
fix dong kaga login terus udah bulan an rating tinggi biar baca ama si admin,1
ribet bgt tot,0
layan buruk banget mudah bikin ribet whatsapp fungsi nya hanya tampil keluh bikin sulit,0
cuma mau ngasih tau aplikasi nya bukan aplikasi resmi hati karna retas hp kalian,0
lot banget gajelas verifikasi lama banget nunggunya,0
daftar lama banget ya masa kelas perintah daftar aja lot cuma muter gjls padahal bener isi identitas nya,0
sangat kecewa sekarang mau padan npwp nik lewat online sekarang bisa,0
aplikasi jmbt banyak dikrp,0
,1
mau buat aja sulit,0
mau log in muncuk error terus kalau log in web bisa,0
aplikasi palsu gaessss bukan perintah direktorat jendral pajak ingat aplikasi palsu liat aja instagram nya royshakti yg centang biru nya,0
sangat bagus mudah,1
bgst lama loading nya,0
bintang 0,0
orang mau bayar pajak aja d sulit effien ga online gmna mau maju bayar pajak aja d sulit,0
aplikasi tergak niatt si baru aja mau mau daftar tp ngga boro login apk nya klik daftar sin aja ngga ada,0
bismillah alhamdulillah masya alloh laa quwwata illaa billaah barokalloh fiikum segera upgrade aplikasi makin mudah akses,1
bagus aplikasi nya tp yg kurang,1
susah apk nya error mulu,0
baik aplikasi nya soal no npwp 16 digit yg sedia kolom npwp 15 digit,1
kirim kode verifikasi sangat lambat jadi minta kode verifikasi ulang tetap lambat lagi akhir uninstal aplikasi,0
login gagal d perifikasi email padahal nomer udah benerr hadeh amit2 apa2 d sulit mulu dah,0
aplikasi cacat kenapasih banyak aplikasi publik punya perintah banyak error nya mau daftar npwp aja ga,0
aplikasi rusak mau buat npwp server nya direfres malah balik awal habisin pulsa aja server rusak,0
buat lansia sulit kerja lebih baik datang kantor pajak tempat,1
error terus login kali notif sesi habis,0
mau daftar kok ngga klik menu sedia klo ngga sedia jgn buat aplikasi,0
dongo,0
emang apa apa yg buat perintah semua sampah sudaah hasil registrasi gilir cari dokumen kartu palah ga,0
jelek keluar mulu aplikasi nya,0
jelek bgt mau log in aja error bgt jelek nungguin kode otp sm 1 jam ga bisa2,0
gabisa login,0
sangat buruk aplikasi nya error terus login,0
sangat baik,1
ribet,0
jelek,0
ga,0
gajelas error mulu,0
pajak gak ngurus online ribet mw minta efin kolom cuma 15 npwp 2025 sama nik gak ngotak bubar aja,0
aplikasi tolol,0
baru aju efin npwp sekarang 16 digit aplikasi 15 digit terimakasih,1
kurang tanggap keluh maklum tunggu hitung tahun,1
log in erorrrrrrrr bukan baik,0
susah banget mau buat npwp kode otp masuk tanya c gak jawab ala sibuk,0
3 nomor aku pake buat verifikasi gak masuk2 pesan,0
aplikasi ngga bener,0
bagus,1
ribet aktivasi akun epin aja wp pribadi kantor segala atur etc sepatu baru mau kerja sekian tahun lama anggur apk djp online sedia layan online aktifasi epin akun kantor pajak dekat kaum karyawan biasa ganggu jam kerja,0
aplikasi gak gathel live chat ngomong sama robot kirim kode otp nomor telepone hani pulsa gak kirim kirim tolollll,0
update dong biar baru bikin npwp login mau login aja susah minta ampun,0
sering susah login,0
aplikasi ga bener kelas perintah bikin aplikasi seribet ini alur gajelas,0
aplikasi apa ga bantu sama sekali mau aju efin ngisi data foto wajah ehh dapat salah sistem mulu udah coba 2 hari sama aja gitu mulu niat ga si bantu warga nihh mau bener sulit,0
mantap,1
aplikasi manfaat hapus play store sama sekali bantu masyarakat,0
aplikasi tipu ini bukan aplikasi pajak aplikasi scam,0
aplikasi sulit bayar pajak,0
,1
sekarang kok bikin npwp susah bnr orang pernah bikin terang nik duplikasi gilir nik udah oke yg masalah kk valid karepe piye mboh,1
mantab,1
aplikasi banyak bug lot banyak update aja uang pajak buat aplikasi bagus aja gak banyak korupsi kayak,0
loh mau masuk npwp sesuai malah nik gak muat jadi gak akses efin app pajak lebih bagus semua instansi hubung uang malah gak update app perintah kalah app swasta aneh,0
ribetnya buat npwp usah bayar pajak hasil bawah bata ptkp,0
apa sih kolom kerja minta isi mulu gua udah gunta ganti aja minta isi rusak rusak,0
daftar gabisa sini ga banget daftar web hp malah makin ancur bikin pusing,0
layan online kurang muas aplikasi sering error guna banyak kolom isi sesuai data tp deteksi mohon baik lg layan online,0
buat npwp sangat sangat sangat sulit banyak masalah mulai error verifikasi code muncul server aneh internet langsung lot registrasi gimanasih rakyat mau kerja aja sulit padahal tinggal npwp doang yaudah kabur aja dulu ah emang lebih bagus,0
asik gak,1
aplikasi bener-bener jelek banget udh klik menu mau login aja susah sekali udh pasu nik npwp password tetap aja salah ini aplikasi error terus benar aplikasin bantu masyarakat engak sih kok error terus terus,0
aplikasi sampah ngabisin duit negara,0
lambat prose,0
gtw pen rating bintang 1,0
knapa sih hari minggu gk kliatan,0
coba dong web sama apknya benerin malu sama anggar masa klh sama swasta,0
plis pak programer buat yg bener simpan gimana kek reload suruh isi awal gimana,0
mantap,1
mau bayar pajak aja daftar nya ribet minta ampun payah coretex nih,0
verifikasi lambat,0
app konoha emang payah,0
mantab,1
aplikasi sampah chat livenya keluar2 sendiri terus udh coba puluh kali malah bikin emosi,0
minta efin sush banget eror mulu,0
dirjen pajak wajib periksa ni,0
web sampah percuma bayar pajak,0
kerja kita suruh lapor pajak ribet,0
good layan,1
anggar besar buat bikin hasil kek mau buat npwp aja susah bgt gelapp,0
daftar daftar halaman web gak buka aneh,0
user sandi selalu aja nyata salah padahal buka lewat coretax aman tpi masuk aplikasi android parah,0
kocak apk dungu ngapain udah apk gilir mau lapor spt tahun malah suruh pake web trs guna apa aplikasi emang susah negri konoha,0
apk lama bagus apk sekarang gak akses buang anggar negara,0
aplikasi sampah,0
aplikasi sampah,0
koq smakin jelek rating aplikasi paja ini apa yaaa knapa kntr pajak tdk review aplikasi djp ini,0
layan kantor jelek sekali,0
coretaxnya cacat,0
error ga login,0
cukup bagus,1
aplikasi indo emang gin,0
jelek bgt sumpah,0
perintah sewa orang tolol buat disain web pajak coba bikin mudah jangan banyak ceramah walopun lambat lebih baik udah lama menbingungkan,0
g dapet vervikasi lewat no maupun gmail,0
banyak masalah daftar,0
sangat bantu,1
dpt tahu lokasi paja,1
matap,1
mau ngurus lupa efin aplikasi ngantri 600 pengatri dulu tunggu sampe sore eh malah tiba system eror lalu coba hari ikut malah salah server masa layan kantor ama aplikasi sama buruk hadeh,0
aplikasi jelek,0
halo jabat mana gajih sama kami tapi kerja ga becus komplen kata npwp ganti jadi nik 15angka jadi 16angka sesuai nik pa mau login knp ga lebih satu terus tunggu awal ganti yg 15jadi16 angka sampe sekarang gada ubah kalian kerja apa tidur terus kerja mohon maaf udhmah yg butuh pajak siapa yg susah siapa udh susah usah say login npwp-nya lebih satu,0
aplikasi makin buruuuukkkkk,0
kaga next trus gimma,0
sampah,0
berapa bulan lama tunggu efin keluar,1
aplikasi sangat lambat,0
bayar pajak mesti lapor pake cara ribet,0
